requirement_id,domain,module,mode,operation,user_outcome,release,priority,risk,required_capability,preview_policy,snapshot_policy,rollback_policy,dependency,source_ids,acceptance_evidence
REQ-0011,content,core,read,content retrieval,An agency operator inspects the full state of one client post or page before deciding what to change,V1,must,low,edit_posts; market evidence EMCP-CAP-012,not-applicable,not-applicable,not-applicable,none,SRC-0002;SRC-0003;SRC-0011,returned normalized record containing title content status taxonomy terms and permitted metadata for the requested post ID
REQ-0012,content,core,read,taxonomy and term discovery,An agency operator learns which taxonomies and terms a client site defines so categorization matches the site's own vocabulary,V1,must,low,edit_posts,not-applicable,not-applicable,not-applicable,none,SRC-0002;SRC-0003;SRC-0011,returned registered taxonomies and their terms with IDs slugs and hierarchy
REQ-0013,content,core,write,content creation,An agency operator drafts new client content through an AI client without touching wp-admin,V1,must,medium,edit_posts and publish_posts for publish,required,supported,supported,REQ-0006,SRC-0002;SRC-0003;SRC-0011,WordPress post exists with requested title and content and status verified as draft after call
REQ-0014,content,core,write,content update,An agency operator revises existing client content while retaining the prior version for recovery,V1,must,medium,edit_post on target,required,required,supported,REQ-0006,SRC-0002;SRC-0003;SRC-0011,post content matched approved plan payload after call and the prior revision remained available
REQ-0015,content,core,write,permitted metadata update,An agency operator updates approved custom metadata while protected keys stay untouchable by any AI client,V1,must,high,edit_post on target plus explicit metadata allowlist,required,required,supported,REQ-0006,SRC-0002;SRC-0003;SRC-0011,allowlisted metadata key updated while a protected key write was rejected with forbidden error leaving its value unchanged
REQ-0016,content,core,write,taxonomy term assignment,An agency operator recategorizes client content using the site's existing terms without manual admin work,V1,must,medium,edit_post on target plus assign_terms on taxonomy,required,required,supported,REQ-0006;REQ-0012,SRC-0002;SRC-0003;SRC-0011,post term list matched the approved plan after call verified by term re-read
REQ-0017,content,core,write,featured media assignment,An agency operator sets a post's featured image from existing library assets during content work,V1,must,medium,edit_post on target,required,required,supported,REQ-0006;REQ-0021,SRC-0002;SRC-0003;SRC-0011,post thumbnail ID matched the approved attachment ID after call
REQ-0018,content,core,write,content status change,An agency operator moves client content through draft review and publish states on request,V1,must,medium,publish_posts for publish transitions,required,required,supported,REQ-0006,SRC-0002;SRC-0003;SRC-0011,post status equal to the requested target status after call and the audit entry recorded the transition
REQ-0019,content,core,write,move content to trash,An agency operator retires client content recoverably so a mistake never destroys data,V1,must,medium,delete_post on target,required,required,required,REQ-0006;REQ-0008,SRC-0002;SRC-0003;SRC-0011,post present in WordPress trash after call and restored to prior status after rollback call
REQ-0020,media,media,read,media listing and search,An agency operator finds existing client media assets before uploading duplicates,V1,must,low,upload_files; market evidence EMCP-CAP-015,not-applicable,not-applicable,not-applicable,none,SRC-0002;SRC-0003;SRC-0011,returned normalized media listing with attachment IDs MIME types and URLs filtered by the search term
REQ-0021,media,media,read,media retrieval,An agency operator inspects one attachment's metadata and available renditions before using it in content,V1,must,low,upload_files,not-applicable,not-applicable,not-applicable,none,SRC-0002;SRC-0003;SRC-0011,returned normalized attachment record with metadata dimensions and registered size URLs
REQ-0022,media,media,read,image size discovery,An agency operator learns which image sizes a client theme registers so placed images render as designed,V1,should,low,read,not-applicable,not-applicable,not-applicable,none,SRC-0002;SRC-0011,returned registered image size names with width height and crop flags
REQ-0023,media,media,write,validated media upload,An agency operator adds client-approved assets to the library with MIME and size validation protecting the site,V1,must,high,upload_files,required,supported,supported,REQ-0006,SRC-0002;SRC-0003;SRC-0011,attachment created for an allowlisted MIME and size while a disallowed MIME upload was rejected with invalid_input and created no attachment
REQ-0024,media,media,write,media metadata update,An agency operator fixes titles captions and alternative text across client media to improve accessibility,V1,must,medium,edit_post on attachment,required,required,supported,REQ-0006,SRC-0002;SRC-0003;SRC-0011,attachment alt text title caption and description matched the approved plan after call with prior values captured in snapshot
REQ-0025,media,media,write,attach media to content,An agency operator associates library assets with the client posts that use them for cleaner library management,V1,must,medium,edit_post on attachment and target,required,required,supported,REQ-0006;REQ-0021,SRC-0002;SRC-0003;SRC-0011,attachment parent set to the target post ID after call verified by attachment re-read
REQ-0026,menu,menus,read,menu and location discovery,An agency operator maps a client site's menus and theme locations before navigation work,V1,must,low,edit_theme_options; market evidence EMCP-CAP-017,not-applicable,not-applicable,not-applicable,none,SRC-0002;SRC-0003;SRC-0009;SRC-0011,returned menus and theme locations with IDs slugs and current assignments
REQ-0027,menu,menus,read,menu tree retrieval,An agency operator reads a client menu's full hierarchy to plan navigation changes accurately,V1,must,low,edit_theme_options,not-applicable,not-applicable,not-applicable,none,SRC-0002;SRC-0003;SRC-0011,returned normalized record listing menu items with IDs parent IDs and order
REQ-0028,menu,menus,write,menu item creation,An agency operator adds navigation entries as client pages launch without wp-admin access,V1,must,medium,edit_theme_options,required,supported,supported,REQ-0006,SRC-0002;SRC-0003;SRC-0011,new menu item present with requested label URL and parent after call
REQ-0029,menu,menus,write,menu item update,An agency operator corrects navigation labels and targets across client menus quickly,V1,must,medium,edit_theme_options,required,required,supported,REQ-0006,SRC-0002;SRC-0003;SRC-0011,menu item label and target matched the approved plan after call with prior state captured in snapshot
REQ-0030,menu,menus,write,menu item reorder,An agency operator restructures client navigation while the existing hierarchy stays intact,V1,must,medium,edit_theme_options,required,required,supported,REQ-0006;REQ-0027,SRC-0002;SRC-0003;SRC-0011,menu item order values matched the approved plan and parent-child hierarchy was preserved after call
REQ-0031,menu,menus,write,menu location assignment,An agency operator activates the correct menu in each theme location during site changes,V1,must,medium,edit_theme_options,required,required,supported,REQ-0006,SRC-0002;SRC-0003;SRC-0011,menu assigned to the requested theme location after call verified by location map re-read
REQ-0032,elementor,elementor,read,document and template discovery,An agency operator finds which client pages and templates Elementor controls before editing an unfamiliar site,V1,must,low,edit_posts; market evidence EMCP-CAP-003,not-applicable,not-applicable,not-applicable,none,SRC-0006;SRC-0009;SRC-0011,returned Elementor documents and templates with IDs types and edit status
REQ-0033,elementor,elementor,read,normalized element tree read,An agency operator inspects a client page's layout structure without decoding raw builder JSON,V1,must,low,edit_post on document; market evidence EMCP-CAP-003,not-applicable,not-applicable,not-applicable,none,SRC-0006;SRC-0009;SRC-0011,returned normalized element tree with stable element IDs types and nesting depth
REQ-0034,elementor,elementor,read,widget and control availability validation,An agency operator learns which widgets and controls the installed Elementor version supports before proposing changes,V1,must,low,edit_posts; market evidence EMCP-CAP-006,not-applicable,not-applicable,not-applicable,none,SRC-0006;SRC-0011,validation response listed unavailable widget and control types for the installed Elementor version while the document remained unchanged
REQ-0035,elementor,elementor,write,structural change preview,An agency operator reviews a before-and-after layout diff for a client page before any builder change lands,V1,must,low,edit_post on document,not-applicable,not-applicable,not-applicable,REQ-0005,SRC-0006;SRC-0009;SRC-0011,returned before and after element tree diff bound to a plan token while the stored document JSON remained unchanged
REQ-0036,elementor,elementor,write,element addition,An agency operator builds out client page sections through an AI client instead of manual drag-and-drop,V1,must,high,edit_post on document; market evidence EMCP-CAP-005,required,required,supported,REQ-0006;REQ-0035,SRC-0006;SRC-0009;SRC-0011,new element present at the requested tree position after call verified by tree re-read
REQ-0037,elementor,elementor,write,element update,An agency operator revises text and content inside client page elements with recovery available,V1,must,high,edit_post on document; market evidence EMCP-CAP-005,required,required,supported,REQ-0006;REQ-0035,SRC-0006;SRC-0009;SRC-0011,element content matched the approved plan after call and the document snapshot enabled restoration
REQ-0038,elementor,elementor,write,element move,An agency operator rearranges client page layout without rebuilding sections from scratch,V1,must,medium,edit_post on document; market evidence EMCP-CAP-005,required,required,supported,REQ-0006;REQ-0035,SRC-0006;SRC-0009;SRC-0011,element relocated to the requested parent and index with sibling order preserved after call
REQ-0039,elementor,elementor,write,element duplicate,An agency operator repeats an existing designed section to extend a client page consistently,V1,should,medium,edit_post on document; market evidence EMCP-CAP-005,required,required,supported,REQ-0006;REQ-0035,SRC-0006;SRC-0009;SRC-0011,duplicate element created with a new unique element ID and identical settings after call
REQ-0040,elementor,elementor,write,element removal,An agency operator removes obsolete client page sections knowing restoration is possible,V1,must,high,edit_post on document; market evidence EMCP-CAP-005,required,required,required,REQ-0006;REQ-0035;REQ-0008,SRC-0006;SRC-0009;SRC-0011,element absent from tree after call and restored at its prior position after rollback call
REQ-0041,elementor,elementor,write,widget settings and responsive style update,An agency operator adjusts widget settings and per-device styles to match client brand requirements,V1,must,medium,edit_post on document; market evidence EMCP-CAP-005,required,required,supported,REQ-0006;REQ-0035,SRC-0006;SRC-0009;SRC-0011,widget setting and responsive style values matched the approved plan for each device mode after call
REQ-0042,elementor,elementor,write,document save through documented APIs,An agency operator persists builder changes to a client page with a revision trail for recovery,V1,must,high,edit_post on document; market evidence EMCP-CAP-004,required,required,required,REQ-0006,SRC-0006;SRC-0009;SRC-0011,document persisted through documented Elementor APIs and a new revision recorded verified by document re-read
REQ-0043,elementor,elementor,write,cache cleanup after verified writes,An agency operator sees builder changes live on the client site immediately after a save,V1,must,low,edit_post on document,not-applicable,not-applicable,not-applicable,REQ-0042;REQ-0007,SRC-0006;SRC-0011,stale Elementor CSS cache invalidated after a verified save confirmed by a regenerated cache entry
REQ-0044,fields,acf,read,ACF group and schema discovery,An agency operator learns a client site's ACF structure before editing structured content,V1,must,low,edit_posts; market evidence EMCP-CAP-025,not-applicable,not-applicable,not-applicable,none,SRC-0007;SRC-0009;SRC-0011,returned ACF field groups with field keys types and location rules
REQ-0045,fields,acf,read,ACF target applicability,An agency operator knows exactly which ACF fields apply to a given client post before proposing values,V1,must,low,edit_post on target,not-applicable,not-applicable,not-applicable,none,SRC-0007;SRC-0011,returned only the ACF fields whose location rules match the requested post ID
REQ-0046,fields,acf,read,ACF value read,An agency operator reads structured client data in a normalized form that still names its provider,V1,must,low,edit_post on target,not-applicable,not-applicable,not-applicable,none,SRC-0007;SRC-0011,returned normalized field values with provider identified as acf in the response
REQ-0047,fields,acf,write,ACF value update,An agency operator updates structured client data with prior values captured for recovery,V1,must,medium,edit_post on target; market evidence EMCP-CAP-025,required,required,supported,REQ-0006;REQ-0045,SRC-0007;SRC-0009;SRC-0011,ACF field value matched the approved plan after call verified through ACF value re-read with the prior value captured in snapshot
REQ-0048,fields,metabox,read,Meta Box group and schema discovery,An agency operator learns a client site's Meta Box structure so provider choice never blocks structured-content work,V1,must,low,edit_posts; market evidence EMCP-CAP-026,not-applicable,not-applicable,not-applicable,none,SRC-0008;SRC-0009,returned Meta Box field groups with field IDs types and assignment rules
REQ-0049,fields,metabox,read,Meta Box target applicability,An agency operator knows exactly which Meta Box fields apply to a given client post before proposing values,V1,must,low,edit_post on target,not-applicable,not-applicable,not-applicable,none,SRC-0008,returned only the Meta Box fields whose assignment rules match the requested post ID
REQ-0050,fields,metabox,read,Meta Box value read,An agency operator reads structured client data in a normalized form that still names its provider,V1,must,low,edit_post on target,not-applicable,not-applicable,not-applicable,none,SRC-0008,returned normalized field values with provider identified as metabox in the response
REQ-0051,fields,metabox,write,Meta Box value update,An agency operator updates structured client data on Meta Box sites with prior values captured for recovery,V1,must,medium,edit_post on target; market evidence EMCP-CAP-026,required,required,supported,REQ-0006;REQ-0049,SRC-0008;SRC-0009,Meta Box field value matched the approved plan after call verified through Meta Box value re-read with the prior value captured in snapshot
REQ-0052,media,media,write,remote URL media import,An agency operator will import remote assets only after server-side request forgery protections pass an independent security review,roadmap,could,high,upload_files deferred pending SSRF review; market evidence EMCP-CAP-009,blocked,blocked,blocked,none,SRC-0009;SRC-0011,remote URL import request rejected with forbidden error and no attachment created
REQ-0053,system,core,write,arbitrary PHP execution permanently excluded,An agency trusts that no AI client can run arbitrary PHP on a client site through this plugin,roadmap,must,excluded,none; blocked by policy engine for every user,blocked,blocked,blocked,none,SRC-0009;SRC-0011,PHP execution requests absent from every dispatcher catalog and rejected with forbidden error if attempted
REQ-0054,system,core,write,unrestricted SQL execution permanently excluded,An agency trusts that no AI client can run raw SQL against a client database through this plugin,roadmap,must,excluded,none; blocked by policy engine for every user; market evidence EMCP-CAP-021,blocked,blocked,blocked,none,SRC-0009;SRC-0011,SQL execution requests absent from every dispatcher catalog and rejected with forbidden error if attempted
REQ-0055,system,core,write,unrestricted filesystem access permanently excluded,An agency trusts that no AI client can read or write arbitrary server files through this plugin,roadmap,must,excluded,none; blocked by policy engine for every user; market evidence EMCP-CAP-020,blocked,blocked,blocked,none,SRC-0009;SRC-0011,filesystem access requests absent from every dispatcher catalog and rejected with forbidden error if attempted
REQ-0056,content,core,write,irreversible permanent deletion,An agency trusts that AI-initiated deletion can never bypass the recoverable WordPress trash in V1,roadmap,must,excluded,none in V1; a separately approved design is required first,blocked,blocked,blocked,none,SRC-0002;SRC-0011,permanent delete request rejected with forbidden error and the target remained recoverable in trash
REQ-0057,content,core,write,WooCommerce commerce operations,An agency can later operate client storefront catalogs once a commerce-specific security plan exists,roadmap,could,medium,manage_woocommerce deferred; market evidence EMCP-CAP-027,unsupported,unsupported,unsupported,none,SRC-0009;SRC-0017;SRC-0021,WooCommerce operations absent from every V1 dispatcher catalog
REQ-0058,content,core,write,form and CRM plugin operations,An agency can later manage client leads and submissions once permission and PII policies mature,roadmap,could,medium,plugin-specific capabilities deferred; market evidence EMCP-CAP-028,unsupported,unsupported,unsupported,none,SRC-0009;SRC-0010;SRC-0012,form and CRM operations absent from every V1 dispatcher catalog
REQ-0059,content,core,write,SEO plugin metadata operations,An agency can later maintain client SEO metadata after the V1 architecture is validated,roadmap,could,medium,plugin-specific capabilities deferred; market evidence EMCP-CAP-029,unsupported,unsupported,unsupported,none,SRC-0009;SRC-0010;SRC-0012,SEO plugin operations absent from every V1 dispatcher catalog
REQ-0060,content,core,write,comment moderation operations,An agency can later moderate client site comments once broader administration ships,roadmap,could,medium,moderate_comments deferred,unsupported,unsupported,unsupported,none,SRC-0002;SRC-0009,comment operations absent from every V1 dispatcher catalog
REQ-0061,system,core,write,user administration operations,An agency can later manage client site users once security-sensitive administration is separately designed,roadmap,could,high,edit_users and create_users deferred; market evidence EMCP-CAP-016,unsupported,unsupported,unsupported,none,SRC-0009;SRC-0011,user operations absent from every V1 dispatcher catalog
REQ-0062,system,core,write,site settings operations,An agency can later adjust selected site settings through a strict allowlist designed after V1,roadmap,could,high,manage_options deferred; market evidence EMCP-CAP-013,unsupported,unsupported,unsupported,none,SRC-0009;SRC-0011,site settings write operations absent from every V1 dispatcher catalog
REQ-0063,elementor,elementor,write,additional page builder support,An agency can later operate mixed-builder client sites beyond Elementor as compatibility coverage grows,roadmap,could,medium,edit_posts deferred; market evidence EMCP-CAP-010,unsupported,unsupported,unsupported,none,SRC-0009;SRC-0011;SRC-0014,non-Elementor builder operations absent from every V1 dispatcher catalog
REQ-0064,system,core,write,centralized multi-site agency operation,An agency can later operate many client sites from one control plane after single-site value is proven,roadmap,could,high,per-site authentication only in V1,unsupported,unsupported,unsupported,none,SRC-0012;SRC-0014,V1 plugin operates only the site it is installed on with no cross-site control endpoint registered
